
57.68757284491289,11
308.7280390570324,9
287.56620440543645,13
0,0
0,0
52.4405527849903,2
498.0873968258914,12
0,0
175.78299416610622,3
0,0
238.12412815059002,2
341.3485024804356,13
497.6328428802655,1
454.3644153368756,2

0,0
87.66729193798614,2
449.9770716867669,8
84.38325348954737,12
0,0
393.3929305813616,2
238.22480625434918,5
0,0
0,0
0,0
473.1454517204388,4
0,0
0,0
186.60041620436476,5

0,0
0,0
346.7390295165632,12
0,0
111.46816875013371,12
0,0
104.95203553536629,11
0,0
67.77669219422131,6
0,0
0,0
89.49267636411645,7
0.28368583579424467,3
91.50384745805053,8

112.14139812455147,13
309.49400520057367,2
384.050584116732,6
275.62393630130924,2
0,0
48.02668159285008,2
321.37580384859285,5
469.89331668399495,4
0,0
0,0
270.41839105215655,2
81.24188449954283,2
40.415542083102025,4
0,0

107.6364536668699,3
323.42990429688325,4
0,0
0,0
36.28637596653289,12
0,0
0,0
0,0
67.7430232246619,4
443.1511971788119,13
87.00502404318718,13
201.61266426831946,5
0,0
0,0
